"Actor Name","Class","Movie"
"Anna Felix","actor","Crazy Heart"
"Kevin Bacon","actor","Mystic River"
"Kevin Bacon","actor","Apollo 13"
"Kevin Bacon","actor","Few Good Men, A"
"Tom Hanks","actor","Toy Story 3"
"Tom Hanks","actor","Catch Me If You Can"
"Tom Hanks","actor","Toy Story 2"
"Tom Hanks","actor","Green Mile, The"
"Tom Hanks","actor","Saving Private Ryan"
"Tom Hanks","actor","The Da Vinci Code"
"Tom Hanks","actor","Toy Story"
"Tom Hanks","actor","Forrest Gump"
"Tom Hanks","actor","The Polar Express"
"Tom Hanks","actor","Philadelphia"
"Tom Hanks","actor","Apollo 13"
"Laurence Fishburne","actor","Mystic River"
"Laurence Fishburne","actor","Matrix, The"
"Keanu Reeves","actor","Matrix, The"
"Bill Paxton","actor","Titanic"
"Bill Paxton","actor","Apollo 13"
"Bill Paxton","actor","Twister"
"Bill Paxton","actor","True Lies"
"Ed Begley","actor","Sweet Bird of Youth"
"Ed Harris","actor","Rock, The"
"Ed Harris","actor","Apollo 13"
"Ed Harris","actor","Beautiful Mind, A"
"Ed Harris","actor","Pollock"
"Ed Harris","actor","Places in the Heart"
"Marcia Gay Harden","actor","Pollock"
"Marcia Gay Harden","actor","Mystic River"
"Tom Bower","actor","Crazy Heart"
"Tom Bower","actor","Pollock"
"Jeff Bridges","actor","Last Picture Show, The"
"Jeff Bridges","actor","TRON: Legacy"
"Jeff Bridges","actor","Crazy Heart"
"Jeff Bridges","actor","True Grit"
"Jeff Bridges","actor","Iron Man"
"Jeff Bridges","actor","Fisher King, The"
"Leslie Bibb","actor","Iron Man"
"Robin Williams","actor","Night at the Museum: Battle of the Smithsonian"
"Robin Williams","actor","Aladdin"
"Robin Williams","actor","Good Will Hunting"
"Robin Williams","actor","Happy Feet"
"Robin Williams","actor","Fisher King, The"
"Robin Williams","actor","Patch Adams"
"Robin Williams","actor","Mrs. Doubtfire"
"Matt Damon","actor","The Departed"
"Matt Damon","actor","Saving Private Ryan"
"Matt Damon","actor","True Grit"
"Matt Damon","actor","The Bourne Ultimatum"
"Matt Damon","actor","Good Will Hunting"
"Matt Damon","actor","The Bourne Supremacy"
"Amy Adams","actor","Night at the Museum: Battle of the Smithsonian"
"Amy Adams","actor","The Fighter"
"Christian Bale","actor","The Fighter"
"Christian Bale","actor","The Dark Knight Rises"
"Christian Bale","actor","Batman Begins"
"Christian Bale","actor","The Dark Knight"
"Gary Oldman","actor","Kung Fu Panda 2"
"Gary Oldman","actor","The Dark Knight Rises"
"Gary Oldman","actor","Batman Begins"
"Gary Oldman","actor","Hannibal"
"Gary Oldman","actor","Air Force One"
"Giancarlo Giannini","actor","Hannibal"
"Giancarlo Giannini","actor","Quantum of Solace"
"Gillian Anderson","actor","The Last King of Scotland"
