"Actor Name","Class","Movie"
"Anna Felix","actor","Crazy Heart"
"Kevin Bacon","actor","Mystic River"
"Kevin Bacon","actor","Apollo 13"
"Kevin Bacon","actor","Few Good Men, A"
"Tom Hanks","actor","Toy Story 3"
"Tom Hanks","actor","Catch Me If You Can"
"Tom Hanks","actor","Toy Story 2"
"Tom Hanks","actor","Green Mile, The"
"Tom Hanks","actor","Saving Private Ryan"
"Tom Hanks","actor","The Da Vinci Code"
"Tom Hanks","actor","Toy Story"
"Tom Hanks","actor","Forrest Gump"
"Tom Hanks","actor","The Polar Express"
"Tom Hanks","actor","Philadelphia"
"Tom Hanks","actor","Apollo 13"
"Laurence Fishburne","actor","Mystic River"
"Laurence Fishburne","actor","Matrix, The"
"Keanu Reeves","actor","Matrix, The"
"Bill Paxton","actor","Titanic"
"Bill Paxton","actor","Apollo 13"
"Bill Paxton","actor","Twister"
"Bill Paxton","actor","True Lies"
"Ed Begley","actor","Sweet Bird of Youth"
"Ed Harris","actor","Rock, The"
"Ed Harris","actor","Apollo 13"
"Ed Harris","actor","Beautiful Mind, A"
"Ed Harris","actor","Pollock"
"Ed Harris","actor","Places in the Heart"
"Marcia Gay Harden","actor","Pollock"
"Marcia Gay Harden","actor","Mystic River"
"Tom Bower","actor","Crazy Heart"
"Tom Bower","actor","Pollock"
"Jeff Bridges","actor","Last Picture Show, The"
"Jeff Bridges","actor","TRON: Legacy"
"Jeff Bridges","actor","Crazy Heart"
"Jeff Bridges","actor","True Grit"
"Jeff Bridges","actor","Iron Man"
"Jeff Bridges","actor","Fisher King, The"
"Leslie Bibb","actor","Iron Man"
